,Tweet Id,text,Tweet Date,followers,Account Verified,Favorite Count,clean_tweet
17,1549834180166619137,"$AAPL back to days high while $SPY still lagging - it's getting ridiculous - please, don't forget, $AAPL traded at… https://t.co/gkDW0ltHL6",2022-07-20 19:10:37+00:00,46,False,0,"['aapl', 'back', 'day', 'high', 'spi', 'still', 'lag', 'get', 'ridicul', 'pleas', 'forget', 'aapl', 'trade', '…']"
18,1549834120800387077,"$AAPL $155 COMING  SHORTS TRAPPED

153.72 NHOD 154.84 NEXT

HIGHER HIGHS/HIGHER LOWS READ CHART SHORTS U KNOW WHERE… https://t.co/AKeWlisOeR",2022-07-20 19:10:23+00:00,1377,False,0,"['aapl', '155', 'come', 'short', 'trap', '153.72', 'nhod', '154.84', 'next', 'higher', 'high', 'higher', 'low', 'read', 'chart', 'short', 'u', 'know', '…']"
19,1549833945600200707,"$SPX has established 2 higher lows, 3920, 3940 and seems ready for the next leg higher. 4000 this wk and 4050-4100… https://t.co/iE0JRHLaXm",2022-07-20 19:09:41+00:00,663,False,0,"['spx', 'establish', '2', 'higher', 'low', '3920', '3940', 'seem', 'readi', 'next', 'leg', 'higher', '4000', 'wk', '4050-4100', '…']"
20,1549833893729210371,"$SPY This was exactly why I said bears, lock in your gains. Bulls held that last line of defense at 390.84 very wel… https://t.co/MaKMcHDssn",2022-07-20 19:09:29+00:00,126,False,1,"['spi', 'exactli', 'said', 'bear', 'lock', 'gain', 'bull', 'held', 'last', 'line', 'defens', '390.84', 'wel', '…']"
21,1549833880508813314,"$AAPL $155 COMING  SHORTS TRAPPED

153.72 NHOD 154.84 NEXT

HIGHER HIGHS/HIGHER LOWS READ CHART SHORTS U KNOW WHERE… https://t.co/9VnD1I9NAz",2022-07-20 19:09:26+00:00,1377,False,0,"['aapl', '155', 'come', 'short', 'trap', '153.72', 'nhod', '154.84', 'next', 'higher', 'high', 'higher', 'low', 'read', 'chart', 'short', 'u', 'know', '…']"
22,1549833839429779456,Survey: US wages not keeping pace with inflation https://t.co/mzwYYvKvdB | $TSLA $FB $QQQ $NDX $VIX $UAL $SPX $AAL… https://t.co/81R8YqONlr,2022-07-20 19:09:16+00:00,5017,False,0,"['survey', 'us', 'wage', 'keep', 'pace', 'inflat', 'tsla', 'fb', 'qqq', 'ndx', 'vix', 'ual', 'spx', 'aal', '…']"
23,1549833834723774468,"$AAPL $155 COMING  SHORTS TRAPPED

153.72 NHOD 154.84 NEXT

HIGHER HIGHS/HIGHER LOWS READ CHART SHORTS U KNOW WHERE… https://t.co/QtSiWsjyqa",2022-07-20 19:09:15+00:00,1377,False,0,"['aapl', '155', 'come', 'short', 'trap', '153.72', 'nhod', '154.84', 'next', 'higher', 'high', 'higher', 'low', 'read', 'chart', 'short', 'u', 'know', '…']"
24,1549833705992196096,"$AAPL $155 COMING  SHORTS TRAPPED

153.72 NHOD 154.84 NEXT

HIGHER HIGHS/HIGHER LOWS READ CHART SHORTS U KNOW WHERE… https://t.co/7axEKGcP6i",2022-07-20 19:08:44+00:00,1377,False,0,"['aapl', '155', 'come', 'short', 'trap', '153.72', 'nhod', '154.84', 'next', 'higher', 'high', 'higher', 'low', 'read', 'chart', 'short', 'u', 'know', '…']"
25,1549833700052938753,RT @MacShellby: @BigBullCap $AAPL europe demand tanking,2022-07-20 19:08:43+00:00,1529,False,0,"['aapl', 'europ', 'demand', 'tank']"
26,1549833647716552712,"$AAPL $155 COMING  SHORTS TRAPPED

153.72 NHOD 154.84 NEXT

HIGHER HIGHS/HIGHER LOWS READ CHART SHORTS U KNOW WHERE… https://t.co/EutFqQdUl9",2022-07-20 19:08:30+00:00,1377,False,0,"['aapl', '155', 'come', 'short', 'trap', '153.72', 'nhod', '154.84', 'next', 'higher', 'high', 'higher', 'low', 'read', 'chart', 'short', 'u', 'know', '…']"
27,1549833596738871299,"$AAPL $155 COMING  SHORTS TRAPPED

153.72 NHOD 154.84 NEXT

HIGHER HIGHS/HIGHER LOWS READ CHART SHORTS U KNOW WHERE… https://t.co/tY2aeM2neH",2022-07-20 19:08:18+00:00,1377,False,0,"['aapl', '155', 'come', 'short', 'trap', '153.72', 'nhod', '154.84', 'next', 'higher', 'high', 'higher', 'low', 'read', 'chart', 'short', 'u', 'know', '…']"
28,1549833532998139907,"RT @AAPLinsights: 🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 47/90
#Mac #Macbook 51/101
#i…",2022-07-20 19:08:03+00:00,775,False,0,"['🔥', '🔥', 'autom', 'hourli', 'aapl', '🍎', 'sentiment', 'report', '📈', '📉', '🔥', '🔥', '1', 'product', 'seri', 'review', 'iphon', '47/90', 'mac', 'macbook', '51/101', '…']"
29,1549833466400866307,"$AAPL Small buy stop triggered at 151.75 today. That's all the equity I'm taking through earnings.  Instead, added… https://t.co/ueOg68QnqB",2022-07-20 19:07:47+00:00,16,False,0,"['aapl', 'small', 'buy', 'stop', 'trigger', '151.75', 'today', ""that'"", 'equiti', ""i'm"", 'take', 'earn', 'instead', 'ad', '…']"
30,1549833448017301504,Pump it $AAPL,2022-07-20 19:07:43+00:00,1871,False,0,"['pump', 'aapl']"
31,1549833442572963840,"🔥🔥 Automated Hourly $AAPL 🍎 Sentiment Report (📈 / 📉) 🔥🔥
1. Product Series Reviews:
#iPhones 47/90
#Mac #Macbook 51/… https://t.co/zGRmzKP2eK",2022-07-20 19:07:41+00:00,51,False,0,"['🔥', '🔥', 'autom', 'hourli', 'aapl', '🍎', 'sentiment', 'report', '📈', '📉', '🔥', '🔥', '1', 'product', 'seri', 'review', 'iphon', '47/90', 'mac', 'macbook', '51', '…']"
32,1549833417469988864,I saw $BA and $WMT running so I waited for $AAPL and $TSLA to bounce up before I entered $SPY at that dip around 11… https://t.co/6FX2QSeaXg,2022-07-20 19:07:35+00:00,172,False,0,"['saw', 'ba', 'wmt', 'run', 'wait', 'aapl', 'tsla', 'bounc', 'enter', 'spi', 'dip', 'around', '11', '…']"
